sha256,dup_type,path,class_name,source
fcf1fccb3759618449abbc5af9debc90e52b2b304049c25c1c50ce0c5d6032bc,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_16.png,a,Tulu-Dtatset-V2
fcf1fccb3759618449abbc5af9debc90e52b2b304049c25c1c50ce0c5d6032bc,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_16.png,a,tulu-dataset
8c91f0c9096f0c8bcaef9b794789cc49f861416c3337f1fb94cd15e1420a3b48,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_17.png,a,Tulu-Dtatset-V2
8c91f0c9096f0c8bcaef9b794789cc49f861416c3337f1fb94cd15e1420a3b48,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_17.png,a,tulu-dataset
80900e98d6b662640ba51d35b9dba94674750565a5db4402aea2d1d012919799,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_18.png,a,Tulu-Dtatset-V2
80900e98d6b662640ba51d35b9dba94674750565a5db4402aea2d1d012919799,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_18.png,a,tulu-dataset
caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_19.png,a,Tulu-Dtatset-V2
caf90ae74830e549837aa8d7cea64b7f61ff5f752e6b865ef8b2eeebd18eb0bf,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_19.png,a,tulu-dataset
2f928d3b068657a6eb23f663b63c785d3aa38c6a12146e90dfd9e1aa21653e33,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_2.png,a,Tulu-Dtatset-V2
2f928d3b068657a6eb23f663b63c785d3aa38c6a12146e90dfd9e1aa21653e33,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_2.png,a,tulu-dataset
ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_20.png,a,Tulu-Dtatset-V2
ed2d878b9cc33848b786ddf89769d3ed11b5b674021088db45fb402af841fc86,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_20.png,a,tulu-dataset
f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_21.png,a,Tulu-Dtatset-V2
f9f21812e339dc693c67de801ade2d4b594dd05a59ab8ec2d73fae818f3ef9bd,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_21.png,a,tulu-dataset
f5b10a81a1269feb34675b26424bf6e6865d5fb51b3777241123b3380cd245aa,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_22.png,a,Tulu-Dtatset-V2
f5b10a81a1269feb34675b26424bf6e6865d5fb51b3777241123b3380cd245aa,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_22.png,a,tulu-dataset
ea207ce91169e4d94afdda0451c64fa54dff02512df4021f4480ffb14a15f616,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_23.png,a,Tulu-Dtatset-V2
ea207ce91169e4d94afdda0451c64fa54dff02512df4021f4480ffb14a15f616,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_23.png,a,tulu-dataset
c7ae58c8858efb026998050e38b6287a4e39912c327001b81d738834014c8ae2,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_24.png,a,Tulu-Dtatset-V2
c7ae58c8858efb026998050e38b6287a4e39912c327001b81d738834014c8ae2,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_24.png,a,tulu-dataset
88699fec30afe50d7124cd106c40305e3f4d2ec9ed032e4259867e46f8258e46,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_25.png,a,Tulu-Dtatset-V2
88699fec30afe50d7124cd106c40305e3f4d2ec9ed032e4259867e46f8258e46,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_25.png,a,tulu-dataset
f2df62f8c5ec19483d982042eec39f1639a0ec3eb3cb441feb09edd1f5e7db5f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_27.png,a,Tulu-Dtatset-V2
f2df62f8c5ec19483d982042eec39f1639a0ec3eb3cb441feb09edd1f5e7db5f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_27.png,a,tulu-dataset
0029f495553a43950f65b62e21789cf4a9ddafac2852fe0730742a8b3e92146f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_28.png,a,Tulu-Dtatset-V2
0029f495553a43950f65b62e21789cf4a9ddafac2852fe0730742a8b3e92146f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_28.png,a,tulu-dataset
32b8a5fa3cfc608b018b9cdce02626dbcfe6594d165e6dd769eb7cafcf873c8b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_3.png,a,Tulu-Dtatset-V2
32b8a5fa3cfc608b018b9cdce02626dbcfe6594d165e6dd769eb7cafcf873c8b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_3.png,a,tulu-dataset
692e6d05f11c6e9c9c612ea3de60e3160c336ecbc5d01867264980fc3a345435,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_30.png,a,Tulu-Dtatset-V2
692e6d05f11c6e9c9c612ea3de60e3160c336ecbc5d01867264980fc3a345435,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_30.png,a,tulu-dataset
41cd2f8e43f6d2c061457f883f65c0e1c75107b28948201ee778d9dc84b02113,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_31.png,a,Tulu-Dtatset-V2
41cd2f8e43f6d2c061457f883f65c0e1c75107b28948201ee778d9dc84b02113,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_31.png,a,tulu-dataset
b3cd3466d679d7c871d69aea4e76c03156aa9099bcdb0e00122ab950b59599fe,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_32.png,a,Tulu-Dtatset-V2
b3cd3466d679d7c871d69aea4e76c03156aa9099bcdb0e00122ab950b59599fe,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_32.png,a,tulu-dataset
123b649e224fbd51c88cad437f745e4e96bd32a5a7d6eba387c28ce3ba25001f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_33.png,a,Tulu-Dtatset-V2
123b649e224fbd51c88cad437f745e4e96bd32a5a7d6eba387c28ce3ba25001f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_33.png,a,tulu-dataset
f70de1b4eb30e16242ef2ef5124a4ed4da14fbc4de079bad7441635c97983774,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_34.png,a,Tulu-Dtatset-V2
f70de1b4eb30e16242ef2ef5124a4ed4da14fbc4de079bad7441635c97983774,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_34.png,a,tulu-dataset
a999a7a04561c23c76152635bd84edadfcd2e9e8a79366813ebc3285eafd60a3,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_35.png,a,Tulu-Dtatset-V2
a999a7a04561c23c76152635bd84edadfcd2e9e8a79366813ebc3285eafd60a3,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_35.png,a,tulu-dataset
3991e0c9987322c38cae3f93ecf48033571b4a767798f086b23b4721a1fe3c7b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_36.png,a,Tulu-Dtatset-V2
3991e0c9987322c38cae3f93ecf48033571b4a767798f086b23b4721a1fe3c7b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_36.png,a,tulu-dataset
689958d9d17f850850c94bad9697ff772ac3cd00aee05af7e2f8eb849c9ae36c,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_37.png,a,Tulu-Dtatset-V2
689958d9d17f850850c94bad9697ff772ac3cd00aee05af7e2f8eb849c9ae36c,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_37.png,a,tulu-dataset
ff7e01a4fdcb335af9db5cbca099feb3ee4e3046088cacd47ebeb43cc3d145fb,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_38.png,a,Tulu-Dtatset-V2
ff7e01a4fdcb335af9db5cbca099feb3ee4e3046088cacd47ebeb43cc3d145fb,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_38.png,a,tulu-dataset
9bd39608be103a189bf8d3c9a9aaa6d88fcb7be7005e71bb6b6c86b7d9771624,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_39.png,a,Tulu-Dtatset-V2
9bd39608be103a189bf8d3c9a9aaa6d88fcb7be7005e71bb6b6c86b7d9771624,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_39.png,a,tulu-dataset
6409c6d3a4f661112cc4ae257f948af2596848fcc604a0d2d11870dceff37dbb,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_4.png,a,Tulu-Dtatset-V2
6409c6d3a4f661112cc4ae257f948af2596848fcc604a0d2d11870dceff37dbb,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_4.png,a,tulu-dataset
ad21ffd39fad0e2ca3af8e8e70d1f069291474dadcbfb3b562972378235deae7,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_40.png,a,Tulu-Dtatset-V2
ad21ffd39fad0e2ca3af8e8e70d1f069291474dadcbfb3b562972378235deae7,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_40.png,a,tulu-dataset
86db85fd6a12464bfb61601a1e136727fc04544cd54801dee6cedf6084ce7e7e,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_41.png,a,Tulu-Dtatset-V2
86db85fd6a12464bfb61601a1e136727fc04544cd54801dee6cedf6084ce7e7e,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_41.png,a,tulu-dataset
8fea2f18b4af3c21868b486bfd85140c92eaf4cabd26838d46f77921ff62a6e6,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_42.png,a,Tulu-Dtatset-V2
8fea2f18b4af3c21868b486bfd85140c92eaf4cabd26838d46f77921ff62a6e6,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_42.png,a,tulu-dataset
7da2c76001ee261169caed1e1d9db92e2e2485e5969dfda1f593154ff266a8a0,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_43.png,a,Tulu-Dtatset-V2
7da2c76001ee261169caed1e1d9db92e2e2485e5969dfda1f593154ff266a8a0,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_43.png,a,tulu-dataset
2f8e02d5670b2b5f1f7ee60f8d5f9ea57a1178489a7c7fec664108e0b25a4c70,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_44.png,a,Tulu-Dtatset-V2
2f8e02d5670b2b5f1f7ee60f8d5f9ea57a1178489a7c7fec664108e0b25a4c70,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_44.png,a,tulu-dataset
2c0b21b96dc5918c6ec27926daebf2730e41a78a82a92fc3e2c0d067bf525847,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_45.png,a,Tulu-Dtatset-V2
2c0b21b96dc5918c6ec27926daebf2730e41a78a82a92fc3e2c0d067bf525847,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_45.png,a,tulu-dataset
c6a0079d4531d6fdaded4e3d2efa31acfbdbc339e84d884bfa32f12e90a537b2,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_46.png,a,Tulu-Dtatset-V2
c6a0079d4531d6fdaded4e3d2efa31acfbdbc339e84d884bfa32f12e90a537b2,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_46.png,a,tulu-dataset
25f687f5912679f041a3cd47a1e81efb486b6949155869b5094b888b59cf02e9,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_47.png,a,Tulu-Dtatset-V2
25f687f5912679f041a3cd47a1e81efb486b6949155869b5094b888b59cf02e9,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_47.png,a,tulu-dataset
6d2dd60d9b7e7f796ac65af4f14eea9ee59095932ef58c1f66fd1518d2a1b751,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_48.png,a,Tulu-Dtatset-V2
6d2dd60d9b7e7f796ac65af4f14eea9ee59095932ef58c1f66fd1518d2a1b751,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_48.png,a,tulu-dataset
59fe385d963ab244045dcafd6ec8df52a52c990d0b274634176681a250795e1a,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_49.png,a,Tulu-Dtatset-V2
59fe385d963ab244045dcafd6ec8df52a52c990d0b274634176681a250795e1a,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_49.png,a,tulu-dataset
4a3b1e6d0294fbd8b8c5f62e0aaf737fe5228b0ed506694ba443ea6309b215a2,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_5.png,a,Tulu-Dtatset-V2
4a3b1e6d0294fbd8b8c5f62e0aaf737fe5228b0ed506694ba443ea6309b215a2,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_5.png,a,tulu-dataset
4e39c096629a5e38cd334e7af9a944693cda374a4a374d34ebb8d8298392d153,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_50.png,a,Tulu-Dtatset-V2
4e39c096629a5e38cd334e7af9a944693cda374a4a374d34ebb8d8298392d153,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_50.png,a,tulu-dataset
fa8375dc2d018ad1043e08492b97bc367489493fe6dc3cbcb524057e9074bfcb,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_51.png,a,Tulu-Dtatset-V2
fa8375dc2d018ad1043e08492b97bc367489493fe6dc3cbcb524057e9074bfcb,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_51.png,a,tulu-dataset
fa37b40f8bb52d6121bd270775594fa2f54e0d7b5f0f4a20b7ef8abc1fb69dab,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_52.png,a,Tulu-Dtatset-V2
fa37b40f8bb52d6121bd270775594fa2f54e0d7b5f0f4a20b7ef8abc1fb69dab,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_52.png,a,tulu-dataset
4d816d4f417b77c27ddef1599c3783ec6979bd93822c534f26d5283562e39f99,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_53.png,a,Tulu-Dtatset-V2
4d816d4f417b77c27ddef1599c3783ec6979bd93822c534f26d5283562e39f99,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_53.png,a,tulu-dataset
5fd1511af1585cbdac11d1e57712222f8d0eddb3e7f8106c6d3f84ff97cb095a,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_54.png,a,Tulu-Dtatset-V2
5fd1511af1585cbdac11d1e57712222f8d0eddb3e7f8106c6d3f84ff97cb095a,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_54.png,a,tulu-dataset
cd4e65d03bd7e43135ee328bc3308e766321d5d74b49dfd2cdabf9b0b5f2c68f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_55.png,a,Tulu-Dtatset-V2
cd4e65d03bd7e43135ee328bc3308e766321d5d74b49dfd2cdabf9b0b5f2c68f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_55.png,a,tulu-dataset
662e3d698802b7018a70e5945e22454ef5e8e7e74d862ee8192e1f144d31eeb7,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_56.png,a,Tulu-Dtatset-V2
662e3d698802b7018a70e5945e22454ef5e8e7e74d862ee8192e1f144d31eeb7,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_56.png,a,tulu-dataset
39c0d142c2478a57b364248164314d6dd361be9f8ca3d9a231049707d0adc62b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_57.png,a,Tulu-Dtatset-V2
39c0d142c2478a57b364248164314d6dd361be9f8ca3d9a231049707d0adc62b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_57.png,a,tulu-dataset
a61f1b8a9a4b1269cd4e8fe98027f65a04ba6e3e7058db2a38330e5233a07ece,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_58.png,a,Tulu-Dtatset-V2
a61f1b8a9a4b1269cd4e8fe98027f65a04ba6e3e7058db2a38330e5233a07ece,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_58.png,a,tulu-dataset
574b738c8ab03a866367336db2c1abf3ee2eee7fa303fc6b56dde816d733d3a1,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_59.png,a,Tulu-Dtatset-V2
574b738c8ab03a866367336db2c1abf3ee2eee7fa303fc6b56dde816d733d3a1,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_59.png,a,tulu-dataset
e686be03510730d9306950b94fdcc33a3fc43a0e211cd11916b3e2eadbef9a23,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_6.png,a,Tulu-Dtatset-V2
e686be03510730d9306950b94fdcc33a3fc43a0e211cd11916b3e2eadbef9a23,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_6.png,a,tulu-dataset
9224f9242946ff4bd3af89f5b1d15c700331c6e63706ec78a5655ac5cc507f3e,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_60.png,a,Tulu-Dtatset-V2
9224f9242946ff4bd3af89f5b1d15c700331c6e63706ec78a5655ac5cc507f3e,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_60.png,a,tulu-dataset
a10fd8cee7a5c5e2c07a804189c978854e3338b7ccb72bfafc401f884715f1fa,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_61.png,a,Tulu-Dtatset-V2
a10fd8cee7a5c5e2c07a804189c978854e3338b7ccb72bfafc401f884715f1fa,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_61.png,a,tulu-dataset
4566ce2c549116b7b3bdfa7e478be422f1dbe751c2b0a82f06f133d1d236060f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_62.png,a,Tulu-Dtatset-V2
4566ce2c549116b7b3bdfa7e478be422f1dbe751c2b0a82f06f133d1d236060f,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_62.png,a,tulu-dataset
802d04e709b31efb34a23cf4037471d692594d0cd36afdf010ea2dcda77dff9b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_63.png,a,Tulu-Dtatset-V2
802d04e709b31efb34a23cf4037471d692594d0cd36afdf010ea2dcda77dff9b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_63.png,a,tulu-dataset
d6a75ab81e1c12f6b7291f266097eba54bd60e8cc8e7081e07cd3ab57d0dddbf,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_64.png,a,Tulu-Dtatset-V2
d6a75ab81e1c12f6b7291f266097eba54bd60e8cc8e7081e07cd3ab57d0dddbf,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_64.png,a,tulu-dataset
d74c6f1079087c342fa679f17ebadc1453cd88e13dbe2d8dba2d7204825c113c,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_65.png,a,Tulu-Dtatset-V2
d74c6f1079087c342fa679f17ebadc1453cd88e13dbe2d8dba2d7204825c113c,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_65.png,a,tulu-dataset
60453c5d209b3298421bf69ac568e5fad09ba37286f2dd86a8c22f1a406dc13b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_66.png,a,Tulu-Dtatset-V2
60453c5d209b3298421bf69ac568e5fad09ba37286f2dd86a8c22f1a406dc13b,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_66.png,a,tulu-dataset
f39f43857afb44697849c719e0fc7748663dda602499c0b4fb694bcff5f89df8,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_67.png,a,Tulu-Dtatset-V2
f39f43857afb44697849c719e0fc7748663dda602499c0b4fb694bcff5f89df8,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_67.png,a,tulu-dataset
5befe3e07e95b403fc7c9bbd912c4774d0974d6e0f2010338b3953016507b87e,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_68.png,a,Tulu-Dtatset-V2
5befe3e07e95b403fc7c9bbd912c4774d0974d6e0f2010338b3953016507b87e,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_68.png,a,tulu-dataset
7b580bcc280e9c756ca2a04bb18ae83c1e11ee86ab520addf70e782b995157e9,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/Tulu-Dtatset-V2/a/a_69.png,a,Tulu-Dtatset-V2
7b580bcc280e9c756ca2a04bb18ae83c1e11ee86ab520addf70e782b995157e9,cross-dataset,/home/manvith/Desktop/Projects/Tulu Dataset/tulu-dataset/a/a_69.png,a,tulu-dataset
